Sheet number,Sheet name,Sheet title
46,RSNOMORE_UG_ALL_1Y_E315,Reason for not working more hours for part-time employed among undergraduates and all provider types by preference for more hours and gender 2024
47,RSNOMORE_PGC_ALL_1Y_E315,Reason for not working more hours for part-time employed among postgraduate coursework students and all provider types by preference for more hours and gender 2024
48,RSNOMORE_PGR_ALL_1Y_E315,Reason for not working more hours for part-time employed among postgraduate research students and all provider types by preference for more hours and gender 2024
49,RSOVRQ_UG_ALL_1Y,"Reason working in a job that does not fully use skills and educations among undergraduates and all provider types by employment outcomes (FTE, OE) 2024"
50,RSOVRQ_PGC_ALL_1Y,"Reason working in a job that does not fully use skills and educations among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) 2024"
51,RSOVRQ_PGR_ALL_1Y,"Reason working in a job that does not fully use skills and educations among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024"
52,RSOVRQ_UG_ALL_1Y_AREA,"Occupation does not fully use skills and education, and main reason for working in a job that doesn’t fully use skills and education, 2024 among undergraduates from all provider types by study area"
53,RSOVRQ_PGC_ALL_1Y_AREA,"Occupation does not fully use skills and education, and main reason for working in a job that doesn’t fully use skills and education, 2024 among postgraduate coursework students from all provider types by study area"
54,RSOVRQ_PGR_ALL_1Y_AREA,"Occupation does not fully use skills and education, and main reason for working in a job that doesn’t fully use skills and education, 2024 among postgraduate research students from all provider types by study area"
55,FTS_UG_ALL_1Y_AREA_E315,"Further full-time study by gender among undergraduates from all provider types by study area, 2024"
56,FTS_PGC_ALL_1Y_AREA_E315,"Further full-time study by gender among postgraduate coursework students from all provider types by study area, 2024"
57,FTS_PGR_ALL_1Y_AREA_E315,"Further full-time study by gender among postgraduate research students from all provider types by study area, 2024"
58,FTS_UG_ALL_1Y_BFOE,"Further full-time study among undergraduates from all provider types by broad field of education, 2024"
59,FTS_PGC_ALL_1Y_BFOE,"Further full-time study among postgraduate coursework students from all provider types by broad field of education, 2024"
60,FTS_PGR_ALL_1Y_BFOE,"Further full-time study among postgraduate research students from all provider types by broad field of education, 2024"
61,FTS_UG_ALL_1Y_FURFOE,"Current further study: field of education among undergraduates and all provider types by further full-time study, 2024"
