Sheet number,Sheet name,Sheet title
42,LFT_PGC_ALL_1Y,"Domestic labour force transition, 2024, among postgraduate coursework graduates from all provider types"
43,LFT_PGR_ALL_1Y,"Domestic labour force transition, 2024, among postgraduate research graduates from all provider types"
44,QUALIMP_UG_ALL_1Y_STMT2,"Importance of qualification among undergraduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
45,QUALIMP_PGC_ALL_1Y_STMT2,"Importance of qualification among postgraduate coursework graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
46,QUALIMP_PGR_ALL_1Y_STMT2,"Importance of qualification among postgraduate research graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
47,CRSPREP_UG_ALL_1Y_STMT2,"Extent to which qualification prepared graduate for employment among undergraduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
48,CRSPREP_PGC_ALL_1Y_STMT2,"Extent to which qualification prepared graduate for employment among postgraduate coursework graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
49,CRSPREP_PGR_ALL_1Y_STMT2,"Extent to which qualification prepared graduate for employment among postgraduate research graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
50,GAS_UG_ALL_1Y_AREA,"Domestic graduate attributes by employment outcomes, 2024, among undergraduates from all provider types by study area"
51,GAS_PGC_ALL_1Y_AREA,"Domestic graduate attributes by employment outcomes, 2024, among postgraduate coursework graduates from all provider types by study area"
52,GAS_UG_ALL_1Y_STMT2,"Graduate ratings of their attributes among undergraduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
53,GAS_PGC_ALL_1Y_STMT2,"Graduate ratings of their attributes among postgraduate coursework graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
54,GAS_PGR_ALL_1Y_STMT2,"Graduate ratings of their attributes among postgraduate research graduates and all provider types by short-term and medium-term domestic employment outcomes, 2024"
55,OV_ALL_ALL_1Y,"Operational overview, 2024, among all course levels from all provider types by provider types"
56,INST_ALL_ALL_5Y,Institutions with completes among all course levels from all provider types by all years
57,RR_ALL_UNI_1Y_INST,"Response rates, 2024, among all course levels from universities by institution"
58,RR_ALL_NUHEI_1Y_INST,"Response rates, 2024, among all course levels from non-university higher education institutes (NUHEIs) by institution"
59,RR_UG_UNI_1Y_INST,"Response rates, 2024, among undergraduates from universities by institution"
60,RR_UG_NUHEI_1Y_INST,"Response rates, 2024, among undergraduates from non-university higher education institutes (NUHEIs) by institution"
61,RR_PGC_UNI_1Y_INST,"Response rates, 2024, among postgraduate coursework graduates from universities by institution"
62,RR_PGC_NUHEI_1Y_INST,"Response rates, 2024, among postgraduate coursework graduates from non-university higher education institutes (NUHEIs) by institution"
63,RR_PGR_UNI_1Y_INST,"Response rates, 2024, among postgraduate research graduates from universities by institution"
64,RR_PGR_NUHEI_1Y_INST,"Response rates, 2024, among postgraduate research graduates from non-university higher education institutes (NUHEIs) by institution"
65,CHAR_ALL_ALL_1Y_AREA,"Study area 21 among all course levels and all provider types by domestic respondent characteristics, 2024"
66,CHAR_ALL_ALL_1Y_AREA_INT,"Study area 21 among all course levels and all provider types by international respondent characteristics, 2024"
67,CHAR_UG_ALL_1Y_AREA,"Study area 21 among undergraduates and all provider types by domestic respondent characteristics, 2024"
68,CHAR_UG_ALL_1Y_AREA_INT,"Study area 21 among undergraduates and all provider types by international respondent characteristics, 2024"
69,CHAR_PGC_ALL_1Y_AREA,"Study area 21 among postgraduate coursework graduates and all provider types by domestic respondent characteristics, 2024"
70,CHAR_PGC_ALL_1Y_AREA_INT,"Study area 21 among postgraduate coursework graduates and all provider types by international respondent characteristics, 2024"
71,CHAR_PGR_ALL_1Y_AREA,"Study area 21 among postgraduate research graduates and all provider types by domestic respondent characteristics, 2024"
72,CHAR_PGR_ALL_1Y_AREA_INT,"Study area 21 among postgraduate research graduates and all provider types by international respondent characteristics, 2024"
73,CHAR_UG_ALL_1Y_ARSX,"Study area 21 among undergraduates and all provider types by gender, 2024"
74,CHAR_PGC_ALL_1Y_ARSX,"Study area 21 among postgraduate coursework graduates and all provider types by gender, 2024"
75,CHAR_PGR_ALL_1Y_ARSX,"Study area 21 among postgraduate research graduates and all provider types by gender, 2024"
76,CHAR_UG_ALL_1Y_AR45SX,"Study areas 45 among undergraduates and all provider types by gender, 2024"
77,CHAR_PGC_ALL_1Y_AR45SX,"Study areas 45 among postgraduate coursework graduates and all provider types by gender, 2024"
78,CHAR_PGR_ALL_1Y_AR45SX,"Study areas 45 among postgraduate research graduates and all provider types by gender, 2024"
