row_group,low_row_label,high_row_label,pair_label,comparison_available,availability_note,full_time_employment_low_value,full_time_employment_high_value,full_time_employment_gap,full_time_employment_availability_note,overall_employment_low_value,overall_employment_high_value,overall_employment_gap,overall_employment_availability_note,labour_force_participation_low_value,labour_force_participation_high_value,labour_force_participation_gap,labour_force_participation_availability_note,row_group_order
Home language,Language other than English,English,Other vs English,True,,58.1,74.5,16.4,,73.6,87.3,13.7,,88.5,92.7,4.2,,0
Study mode,Internal/Mixed study mode,External study mode,Internal/Mixed vs External,True,,71.9,81.2,9.3,,86.2,89.5,3.3,,92.8,92.0,-0.8,,1
Locality,Metro,Regional/Remote,Metro vs Regional/Remote,True,,71.7,80.6,8.9,,86.1,89.9,3.8,,92.7,93.2,0.5,,2
Indigenous,Non-Indigenous,Indigenous,Non-Indigenous vs Indigenous,True,,73.9,82.7,8.8,,86.9,88.8,1.9,,92.6,91.5,-1.1,,3
Disability,Disability reported,No disability reported,Disability reported vs No disability reported,True,,66.8,75.0,8.2,,82.9,87.4,4.5,,89.8,93.0,3.2,,4
Age group,30 years or under,Over 30 years,30 and under vs Over 30,True,,72.4,80.1,7.7,,86.5,88.4,1.9,,93.3,90.4,-2.9,,5
Gender,Male,Female,Male vs Female,True,,72.7,74.9,2.2,,84.7,88.0,3.3,,92.0,92.9,0.9,,6
First in family,Not first in family,First in family,Not first in family vs First in family,True,,73.4,75.1,1.7,,86.7,87.9,1.2,,92.8,93.4,0.6,,7
Socio-economic status,High,Low,High vs Low,True,,73.5,73.8,0.3,,86.7,86.4,-0.3,,92.2,93.1,0.9,,8
